,ind,max_valorX,max_valorY,max_valorZ,media,formula,Ehull,HF,Gap,Energy,natoms,nspecies,thickness,uc_area,average_atomic_number,average_valence_number,average_electronegativity
2358,2492,0.30750000000000455,0.3024999999998954,0.3024999999998954,0.3041666666665985,Sr2Br4,0.054,-2.119,4.629,-22.398,6,2,3.258,35.525,36.0,12.0,2.29
2359,2493,26.585000000000036,6.32000000000005,8.817499999999995,13.907500000000027,Sr2Cl4,0.079,-2.435,5.478,-25.101,6,2,2.959,32.806,24.0,5.333333333333333,2.4233333333333333
2360,2494,0.7450000000000045,0.6999999999999318,0.6999999999999318,0.714999999999956,InAs2NaS6,0.084,-0.346,1.914,-41.329,10,4,3.313,43.011,22.2,8.0,2.255
2361,2495,0.37999999999999545,0.3349999999999227,0.4149999999999636,0.37666666666662724,InAs2Se6Na,0.081,-0.306,1.336,-37.351,10,4,3.537,46.279,33.0,14.0,2.2369999999999997
2362,2496,1.5699999999999363,1.5424999999999045,1.5424999999999045,1.5516666666665817,InNaP2S6,0.0,-0.529,2.384,-44.557,10,4,3.167,40.388,18.6,6.0,2.257
2363,2498,0.6225000000000591,0.6225000000000591,0.6225000000000591,0.6225000000000591,Au4Te2,0.0,-0.081,0.075,-19.418,6,2,3.536,31.814,70.0,12.666666666666666,2.393333333333333
2364,2499,0.8125,0.8125,0.8125,0.8125,Te2Cu4,0.043,-0.016,0.095,-21.211,6,2,3.522,24.832,36.666666666666664,12.666666666666666,1.9666666666666668
2365,2500,1.5674999999999955,1.0575000000000045,1.0575000000000045,1.2275000000000016,Nb4Te2,0.0,-0.303,0.0,-49.534,6,2,7.61,12.129,44.666666666666664,8.666666666666666,1.7666666666666668
2366,2501,1.337500000000091,1.337500000000091,1.337500000000091,1.337500000000091,Rh4Te2,0.042,-0.218,0.0,-36.309,6,2,4.276,16.642,47.333333333333336,11.333333333333334,2.22
2367,2502,1.6299999999999955,1.1449999999999818,1.1449999999999818,1.306666666666653,Ta4Te2,0.0,-0.247,0.0,-47.159,6,2,7.673,12.091,66.0,8.666666666666666,1.7
2368,2503,1.4825000000000728,1.4674999999999727,1.4674999999999727,1.4725000000000061,InSe6NaP2,0.0,-0.403,1.776,-39.729,10,4,3.393,43.8,29.4,12.0,2.239
2369,2504,1.1374999999999886,0.44249999999999545,0.46750000000002956,0.6825000000000045,Tl4Te2,0.014,-0.235,0.698,-17.813,6,2,3.724,35.912,71.33333333333333,14.0,2.06
2370,2505,0.9300000000000637,0.9300000000000637,0.9300000000000637,0.9300000000000637,Ti2Br4,0.0,-1.178,0.288,-26.787,6,2,3.796,21.422,30.666666666666668,12.666666666666666,2.486666666666667
2371,2506,2.457499999999982,3.667500000000018,2.519999999999982,2.8816666666666606,Ti2Cl4,0.0,-1.544,0.325,-29.784,6,2,3.528,19.213,18.666666666666668,6.0,2.62
2372,2507,0.7250000000000227,0.625,0.625,0.6583333333333409,I4Ti2,0.004,-0.717,0.155,-23.595,6,2,4.098,25.019,42.666666666666664,12.666666666666666,2.2866666666666666
2373,2508,0.14999999999997726,0.16250000000002274,0.21249999999997726,0.1749999999999924,Ti2O4,0.122,-2.959,2.855,-51.628,6,2,1.976,15.563,12.666666666666666,5.333333333333333,2.8066666666666666
2374,2509,0.7824999999999704,0.37000000000000455,0.45249999999998636,0.5349999999999872,Ti2S4,0.09,-1.219,0.0,-37.003,6,2,2.803,20.872,18.0,5.333333333333333,2.2333333333333334
2375,2510,0.5625,0.5625,0.6399999999999864,0.5883333333333288,PdP2S6Li,0.04,-0.412,0.103,-45.027,10,4,3.474,31.032,17.5,5.7,2.3040000000000003
2376,2511,1.2550000000001091,1.2550000000001091,1.2550000000001091,1.2550000000001091,V2Cl4,0.11,-1.063,0.0,-30.568,6,2,3.333,18.513,19.0,6.333333333333333,2.65
2377,2512,1.3100000000000591,1.3100000000000591,1.3100000000000591,1.3100000000000591,V2O4,0.113,-2.208,0.0,-50.796,6,2,2.069,14.629,13.0,5.666666666666667,2.8366666666666664
2378,2513,0.5925000000000864,0.5900000000000318,0.5900000000000318,0.5908333333333834,Te4V2,0.005,-0.318,0.0,-31.774,6,2,3.736,22.938,42.333333333333336,12.333333333333334,1.9433333333333334
2379,2514,1.5275000000000318,1.5275000000000318,1.5275000000000318,1.5275000000000318,W2O4,0.198,-1.818,0.0,-54.378,6,2,2.664,14.874,30.0,6.0,3.08
2380,2515,0.5575000000000045,0.5475000000000136,0.5475000000000136,0.5508333333333439,W2S4,0.177,-0.696,0.0,-43.461,6,2,3.488,18.326,35.333333333333336,6.0,2.5066666666666664
2381,2516,1.1750000000000682,1.1750000000000682,1.1750000000000682,1.1750000000000682,W2Se4,0.092,-0.503,0.032,-39.918,6,2,3.784,19.659,47.333333333333336,12.666666666666666,2.4866666666666664
2382,2517,1.38250000000005,1.365000000000009,1.365000000000009,1.370833333333356,W2Te4,0.0,-0.136,0.0,-36.604,6,2,4.18,22.044,59.333333333333336,12.666666666666666,2.186666666666667
2383,2519,0.6449999999999818,0.63250000000005,0.6349999999999909,0.6375000000000076,Zr2Br4,0.0,-1.34,0.591,-29.181,6,2,4.086,22.712,36.666666666666664,12.666666666666666,2.4166666666666665
2384,2520,0.9825000000000728,0.9700000000000273,0.9700000000000273,0.9741666666667091,Zr2Cl4,0.029,-1.676,0.596,-32.004,6,2,3.803,20.766,24.666666666666668,6.0,2.5500000000000003
2385,2521,1.2450000000001182,1.2450000000001182,1.2450000000001182,1.2450000000001182,Ta2RuNiSe6,0.093,-0.581,0.338,-63.045,10,4,3.785,34.199,42.2,12.4,2.241
2386,2522,0.4174999999999045,0.38249999999993634,0.4699999999999136,0.42333333333325146,Zr2I4,0.0,-0.911,0.429,-26.186,6,2,4.402,26.052,48.666666666666664,12.666666666666666,2.216666666666667
2387,2523,0.6075000000000159,0.33499999999997954,0.46249999999997726,0.4683333333333242,Zr2S4,0.066,-1.52,0.702,-40.236,6,2,2.868,23.773,24.0,5.333333333333333,2.1633333333333336
2388,2524,0.6725000000000136,1.3349999999999795,1.232500000000016,1.080000000000003,Zr2S4,0.184,-1.402,1.128,-39.529,6,2,3.245,22.114,24.0,5.333333333333333,2.1633333333333336
2389,2525,0.9674999999999727,0.8224999999999909,0.8224999999999909,0.8708333333333181,Zr2Se4,0.08,-1.287,0.251,-36.461,6,2,3.107,25.636,36.0,12.0,2.143333333333333
2390,2526,0.6650000000000773,0.7450000000000045,0.6150000000000091,0.6750000000000304,Cr3Se6,0.054,-0.432,0.478,-53.011,9,2,3.253,27.186,30.666666666666668,12.666666666666666,2.253333333333333
2391,2527,1.1825000000000045,1.1825000000000045,1.1825000000000045,1.1825000000000045,Te6Cr3,0.029,-0.185,0.0,-49.123,9,2,3.454,35.357,42.666666666666664,12.666666666666666,1.9533333333333336
2392,2528,7.6200000000000045,7.342499999999973,7.342499999999973,7.434999999999984,PdZnSe6P2,0.075,-0.208,0.065,-38.706,10,4,3.354,34.863,31.0,12.8,2.3529999999999998
2393,2529,0.5349999999999682,0.4774999999999636,0.4700000000000273,0.49416666666665304,Fe3Se6,0.068,-0.292,0.312,-50.652,9,2,3.104,28.321,31.333333333333332,13.333333333333334,2.31
2394,2530,3.472499999999968,3.375,3.375,3.4074999999999895,Te6Fe3,0.094,-0.1,0.083,-47.249,9,2,3.388,32.435,43.333333333333336,13.333333333333334,2.0100000000000002
2395,2531,2.105000000000018,2.0175000000001546,2.0750000000000455,2.0658333333334062,Mn3Cl6,0.039,-1.021,1.91,-49.05,9,2,3.357,51.206,19.666666666666668,7.0,2.623333333333333
2396,2532,6.535000000000082,6.535000000000082,6.535000000000082,6.535000000000082,Ag2Cr2P4S12,0.0,-0.363,0.997,-102.151,20,4,3.761,63.803,19.7,6.3,2.3449999999999998
2397,2533,0.7749999999999773,0.8199999999999363,0.8574999999999591,0.8174999999999576,I6Mn3,0.005,-0.415,1.294,-41.753,9,2,3.986,62.077,43.666666666666664,13.666666666666666,2.29
2398,2534,1.0650000000000546,0.7300000000000182,0.7450000000000045,0.8466666666666924,Nb3Te6,0.0,-0.46,0.0,-54.35,9,2,4.122,34.978,48.333333333333336,12.333333333333334,1.9333333333333336
2399,2535,0.80499999999995,0.80499999999995,0.80499999999995,0.80499999999995,Pt3Bi6,0.102,-0.174,0.0,-48.672,9,2,3.86,38.138,81.33333333333333,13.333333333333334,2.106666666666667
2400,2536,0.9349999999999454,0.6399999999999864,0.6525000000000318,0.7424999999999878,Ta3Te6,0.015,-0.37,0.0,-52.012,9,2,4.058,34.911,59.0,12.333333333333334,1.9000000000000001
2401,2539,0.7424999999998363,0.7424999999998363,0.7424999999998363,0.7424999999998363,Sb4As2O12H2,0.024,-1.281,3.522,-120.708,20,4,3.44,60.171,18.4,8.2,2.912
2402,2541,0.5299999999997453,0.5299999999997453,0.5299999999997453,0.5299999999997453,Au4F8,0.014,-0.92,0.235,-36.258,12,2,2.589,43.72,32.333333333333336,8.333333333333334,3.5
2403,2542,0.15000000000009095,0.30999999999994543,0.17250000000012733,0.2108333333333879,Au4I8,0.034,-0.032,0.358,-24.731,12,2,3.401,72.503,61.666666666666664,15.0,2.62
2404,2545,2.8400000000001455,2.8400000000001455,2.8400000000001455,2.8400000000001455,Cr2Cu2P4S12,0.0,-0.374,1.078,-104.039,20,4,3.375,62.162,17.9,6.3,2.342
2405,2546,2.6849999999999454,2.6849999999999454,2.6849999999999454,2.6849999999999454,Co4S8,0.071,-0.317,0.322,-69.34,12,2,2.666,35.602,19.666666666666668,7.0,2.3466666666666667
2406,2547,6.9375,3.174999999999727,3.174999999999727,4.429166666666485,Cu4F8,0.0,-1.606,0.383,-46.67,12,2,6.342,21.011,15.666666666666666,8.333333333333334,3.2866666666666666
2407,2548,0.9900000000000091,0.7474999999999454,0.875,0.8708333333333181,Ge4As8,0.006,-0.047,1.186,-55.927,12,2,6.049,40.117,32.666666666666664,14.666666666666666,2.1233333333333335
2408,2549,2.2124999999999773,2.044999999999959,2.1224999999999454,2.1266666666666274,Ge4P8,0.002,0.002,1.333,-60.954,12,2,5.68,37.02,20.666666666666668,8.0,2.13
2409,2550,1.0674999999999955,0.9074999999999136,0.9874999999999545,0.9874999999999545,Sb8Ge4,0.051,0.051,0.942,-52.697,12,2,6.657,47.369,44.666666666666664,14.666666666666666,2.0366666666666666
2410,2551,0.25749999999993634,0.22749999999996362,0.22749999999996362,0.23749999999995453,Hg4I8,0.0,-0.357,1.664,-19.648,12,2,6.732,82.502,62.0,15.333333333333334,2.44
